	t	AveExpr	lods	logFC	CI.L	CI.R	adj.P.Val	P.Value
UGT8	-7.535364653008538	-0.7803545757324005	12.09877542021763	-5.043943018213253	-6.3878912346527486	-3.6999948017737574	1.0972729697380766e-07	7.974175936234671e-10
C19orf51	7.5170894621376725	1.5192354829176447	12.198309042350633	4.285661262086503	3.140979509293026	5.43034301487998	1.1626423442369205e-07	8.519061020835094e-10
FSIP1	7.486439376967272	2.642113885878642	12.13372070661838	6.103849384406791	4.466862749199072	7.740836019614511	1.2884214910304761e-07	9.51806867247739e-10
MTHFD1L	-7.483930471700791	3.8846355874467418	12.100888226396247	-2.168499511247531	-2.750262678663547	-1.5867363438315156	1.2896862497852571e-07	9.604870568971285e-10
UBXN2A	-7.47322988193885	3.898812672249561	12.056262504777063	-1.253659077029834	-1.5904712234756715	-0.9168469305839964	1.329880592027467e-07	9.984088528734738e-10
LRRC50	7.459311912990066	0.023442329131424116	11.85382291692328	4.077565066279862	2.9800290786500696	5.175101053909655	1.372179939326201e-07	1.0499885760452668e-09
KIAA0040	7.457485200458262	7.054833628207905	11.87713782930303	1.982571557941439	1.44880285153118	2.516340264351698	1.372179939326201e-07	1.0569538434739976e-09
TGFB3	7.456851951960123	6.0891224184308115	11.889645269374354	2.010306867351413	1.4690250074075288	2.5515887272952966	1.372179939326201e-07	1.059379224870387e-09
AMD1	-7.455875405623753	6.162666039345481	11.874020437807957	-1.4083983960927169	-1.7876640518211098	-1.029132740364324	1.372179939326201e-07	1.0631304034419214e-09
GPN1	-7.450102448701741	5.610023913973912	11.870487873959462	-1.024807637670822	-1.300990512397535	-0.748624762944109	1.3903769700651314e-07	1.0855796162670696e-09
EML4	-7.443175298570549	6.119641838596538	11.82902222130289	-1.2991122411260676	-1.6495452961716313	-0.9486791860805039	1.4147994270065061e-07	1.1131454951222361e-09
TTC39A	7.439317684296894	6.5471213463738245	11.828973459469248	2.822020296536313	2.0603909576776602	3.583649635394966	1.4238268296290822e-07	1.128799648714948e-09
NAT1	7.431000491427514	5.927548311692302	11.886640713413271	5.545447349877822	4.0471226685783765	7.043772031177268	1.4563190673886247e-07	1.1633059216978203e-09
C1orf64	7.418237709138818	2.5160193583090598	11.832033955722308	9.089608623279734	6.629461524642213	11.549755721917254	1.5138133365611827e-07	1.218324246842033e-09
CENPA	-7.390741207610799	2.424637941931188	11.806345497198539	-2.8434427193998397	-3.6158976074965383	-2.070987831303141	1.6599266507496697e-07	1.3458864735808134e-09
F7	7.38499028149707	1.582447724005722	11.746983952122518	5.092821344560344	3.708218719781792	6.477423969338895	1.6792396033338486e-07	1.374215061329198e-09
TMC4	7.382021992243466	6.597930946028031	11.613336072419969	2.1571847094863426	1.5704677583649032	2.743901660607782	1.6792396033338486e-07	1.3890697280393878e-09
GPR81	7.379809497490449	3.5540991820953285	11.755483331657327	3.614224322902972	2.6309230747627916	4.597525571043152	1.6792396033338486e-07	1.4002466771096631e-09
PPP1CB	-7.379486142483177	8.396537719868807	11.601214762318687	-1.029255821942204	-1.3092918105415934	-0.7492198333428147	1.6792396033338486e-07	1.4018877168973272e-09
TMBIM4	7.369920208659619	6.5288067594699974	11.564195939928064	1.5703778672570703	1.1425608878908236	1.998194846623317	1.7106834048127382e-07	1.451317310207088e-09
C9orf98	7.3693242921393844	1.9891506912278532	11.720256708004634	2.496228718210709	1.8161278266876133	3.1763296097338047	1.7106834048127382e-07	1.4544537483913707e-09
SLC7A13	7.368470133979646	-2.977859058141276	11.100627833859061	4.218631100409936	3.069126113581171	5.3681360872387005	1.7106834048127382e-07	1.4589612221225756e-09
TSC22D3	7.3626696956210305	7.165346968327898	11.534056433111353	1.7303938993863035	1.2585196317256444	2.2022681670469626	1.7347941920670317e-07	1.4899433601536668e-09
CXXC5	7.3600979150892405	5.150233126134801	11.592158505233549	2.1350716979384434	1.5526393212172067	2.71750407465968	1.7388732151142084e-07	1.503890348206883e-09
APBB2	7.356942828580101	6.7844840895597205	11.517309671793722	1.8234231798351344	1.3257929813314697	2.321053378338799	1.7453117556991833e-07	1.5211795494226405e-09
WDR19	7.353940970780776	4.56677971851124	11.591913036894008	1.4711180170739073	1.0694714936701242	1.8727645404776905	1.7453117556991833e-07	1.5378140249586144e-09
NBEA	7.351814456685152	3.651023954597249	11.648458669778858	2.8634789594138015	2.081462136779916	3.645495782047687	1.7453117556991833e-07	1.5497080990425488e-09
TRIM3	7.351515389895518	4.40124441783447	11.600332866733126	1.9209021871640273	1.3962819764544525	2.445522397873602	1.7453117556991833e-07	1.551388227288163e-09
ESYT3	-7.3429347314615425	-0.8777281238858596	11.372798282776241	-3.51362039814703	-4.474351408440323	-2.5528893878537375	1.7883431284776234e-07	1.6003791359949903e-09
SLC16A6	7.331615956476032	3.1548869412399436	11.598384869799254	4.2559971834062456	3.0904811255755567	5.4215132412369345	1.8507954353888408e-07	1.6673832751250818e-09
EXOC6	7.316525330385322	5.067736069818158	11.42833014387447	1.5616516657383368	1.133107165903234	1.9901961655734397	1.9418860421854484e-07	1.7611098640841002e-09
RABEP1	7.312767928281526	7.40069575077537	11.357182688622455	1.8749110111750316	1.3601383126145785	2.3896837097354844	1.954717240409503e-07	1.7852566075681993e-09
DNAJC12	7.311077707920948	4.328000813267291	11.500143561364519	4.956532775371769	3.5953601085845985	6.317705442158939	1.954717240409503e-07	1.796226653349273e-09
MCM7	-7.3007368315411485	6.735454763031909	11.309013838408434	-1.381223993047847	-1.7610756780605639	-1.00137230803513	2.0161946902020227e-07	1.864828722469138e-09
CCDC40	7.281662985600461	2.955760234110015	11.423134732491842	2.512720239652331	1.8198846309392704	3.2055558483653916	2.1465920856519401e-07	1.998328968624929e-09
DNAH5	7.270918458993091	3.400755577618045	11.380371190314065	4.216643406900914	3.0522647446914046	5.381022069110424	2.2175513813321672e-07	2.077705798725634e-09
CDK2AP1	-7.2679954925621395	7.275260394789917	11.190811970036789	-1.7474713923897056	-2.230210032455911	-1.2647327523235001	2.2269016113251443e-07	2.099841159027313e-09
FOXP1	7.236548942541453	6.412963074191005	11.089488032104903	1.612905828262388	1.1654046895227392	2.060406967002037	2.480071684071558e-07	2.3534614179177548e-09
ROPN1B	-7.232149756773207	-1.1459637860657605	11.041985258597006	-5.372798781673176	-6.864389948030756	-3.8812076153155965	2.504105960770393e-07	2.3913083949699246e-09
PALM	7.187905050817895	4.509089431371898	11.021480292066027	2.4888645713016317	1.793655274390117	3.1840738682131464	2.9216226303614697e-07	2.8075652904374482e-09
RSPH1	7.184054146748583	2.4586256517601157	11.08569652994712	2.9637671617796433	2.13546056143219	3.7920737621270963	2.9330716557367637e-07	2.8470606100590006e-09
FAM63A	7.182743174740611	5.730029288748849	10.91854191882743	1.7063608062936861	1.2293841044117162	2.183337508175656	2.9330716557367637e-07	2.860632676050017e-09
TOX3	7.181706058920627	3.8454183131296196	11.056955871121028	4.673637396882556	3.367033268382011	5.980241525383102	2.9330716557367637e-07	2.87141549480536e-09
FAM198B	7.163883285606863	7.602271023175646	10.833693086191532	2.8047865496096875	2.0187043688106785	3.5908687304086966	3.10990548527789e-07	3.0632102077211647e-09
FAM171A1	-7.15522452529807	3.9899714050087574	10.925660485147015	-2.497198514622953	-3.1979216216928132	-1.796475407553093	3.1897045511558406e-07	3.1609684741184004e-09
CASC1	7.140880385771084	0.8800723278374888	10.869550758313007	3.362371374673972	2.416982344888992	4.307760404458952	3.339868449353692e-07	3.329838814370648e-09
FBXL5	7.135078967620959	7.004534669258158	10.716335139107715	1.2579581812347191	0.9039738350872277	1.6119425273822106	3.390495317996331e-07	3.400676985617941e-09
ZBTB42	7.129887716725188	5.014676340582774	10.769608501397492	1.7907320376733122	1.2864603907684669	2.2950036845781576	3.434402590552584e-07	3.465343154431436e-09
CDC20	-7.120809249766938	4.794377654805812	10.761074742172461	-2.543707044657493	-3.260930324882829	-1.826483764432157	3.5284258072056856e-07	3.581405173680245e-09
MSX2	7.115938468018191	3.1479140832143524	10.837687623306302	3.039629476664282	2.1819893336130995	3.8972696197154644	3.5702213164870786e-07	3.6452710138306506e-09
C9orf64	7.095370747319246	4.5405080040354795	10.67377083467311	1.5843685917649566	1.136038624919698	2.0326985586102153	3.8244116357055717e-07	3.9277741123462625e-09
APH1B	7.090515834588469	4.740526802113961	10.643972828737661	1.6798118178484036	1.204148743737203	2.1554748919596043	3.8697644238084915e-07	3.997594479850213e-09
SRPK1	-7.073523631733325	6.215979355549686	10.504436541715624	-1.3124963924074944	-1.6850415706443613	-0.9399512141706274	4.0921441099652855e-07	4.2518974836275945e-09
